phase	nature	fatalities	file	type	opr	dep	dest	dep_full	dest_full
APR	passDomestic	20	19891028-0	de Havilland Canada DHC-6 Twin Otter 300	Aloha IslandAir	OGG	MKK	Kahului Airport, HI (OGG/PHOG), United States of America	Molokai/Kaunakakai Airport, HI (MKK/PHMK), United States of America
ENR	cargo	6	19891105-0	Handley Page HPR-7 Herald 401	Aerosucre Colombia	BOG	CLO	Bogotá-Eldorado Airport (BOG/SKBO), Colombia	Cali Airport (CLO/SKCL), Colombia
APR	exec	5	19891107-0	Learjet 25C	Belair Táxi Aéreo		PLU	?	Belo Horizonte-Pampulha Airport, MG (PLU/SBBH), Brazil
UNK	passDomestic	2	19891109-0	Pilatus Britten-Norman BN-2A-26 Islander	Weasua Air Transport			?	?
ENR	military	15	19891110-0	CASA C-212-M Aviocar 300	Royal Lesotho Defence Force	UNE	FXMU	Qacha's Nek Airport (UNE/FXQN), Lesotho	Maseru/Mejametaiana Airport (FXMU), Lesotho
ENR	other	2	19890112-1	Beechcraft 200 Super King Air	Corporación Metalmen	VLN	SVFM	Valencia-Arturo Michelena International Airport (VLN/SVVA), Venezuela	Caracas/La Carlota-Gen. Francisco de Miranda AB (SVFM), Venezuela
APR	passDomestic	34	19891121-0	Antonov 24B	Aeroflot, Uralsk Civil Aviation Directorate	PEE	TJM	Perm Airport (PEE/USPP), Russia	Tyumen Airport (TJM/USTR), Russia
ENR	passDomestic	107	19891127-0	Boeing 727-21	Avianca	BOG	CLO	Bogotá-Eldorado Airport (BOG/SKBO), Colombia	Cali-Alfonso Bonilla Aragón Airport (CLO/SKCL), Colombia
APR	cargo	5	19891127-1	Lockheed L-100-20 Hercules	Tepper Aviation Inc	KMN	JMB	Kamina Airport (KMN/FZSA), Congo (Democratic Republic)	Jamba Airport (JMB), Angola
ENR	passDomestic	8	19891128-1	Britten-Norman BN-2 Islander	New England Airlines	BID	WST	Block Island Airport, RI (BID), United States of America	Westerly State Airport, RI (WST), United States of America
APR	other	5	19891201-0	CASA C-212 Aviocar 200	United States Army	DAA	NHK	Fort Belvoir-Davison AAF, VA (DAA/KDAA), United States of America	Patuxent River NAS, MD (NHK/KNHK), United States of America
UNK	passDomestic	1	19891214-0	Antonov 2	Aeroflot			?	?
ICL	military	22	19891221-1	Lockheed C-130A Hercules	Fuerza Aérea Boliviana	GYA	SRZ	Guayaramerin Airport (GYA/SLGY), Bolivia	Santa Cruz-El Trompillo Airport (SRZ/SLCZ), Bolivia
ICL	other	4	19891221-2	IRMA/Britten-Norman BN-2A-9 Islander	Aviation Sans Frontières	HSAW	KRT	Aweil Airport (HSAW), South Sudan	Khartoum-Civil Airport (KRT/HSSS), Sudan
APR	passDomestic	6	19891226-0	British Aerospace 3101 Jetstream 31		YKM	PSC	Yakima Air Terminal, WA (YKM/KYKM), United States of America	Pasco-Tri-Cities Airport, WA (PSC), United States of America
ENR	cargo	7	19891228-2	Antonov 24RV	Tarom	OTP	BEG	Bucharest-Otopeni International Airport (OTP/LROP), Romania	Beograd Airport (BEG/LYBE), Serbia
ICL	cargo	2	19890112-0	Hawker Siddeley HS-748-215 Srs. 2A	Bradley Air Services	DAY	YUL	Dayton-James Cox Dayton International Airport, OH (DAY/KDAY), United States of America	Montreal-Dorval International Airport, QC (YUL/CYUL), Canada
ENR	passDomestic	9	19900102-1	CASA/Nurtanio NC-212 Aviocar 200	Pelita Air Service	PLM	HLP	Palembang Airport (PLM/WIPP), Indonesia	Jakarta-Halim Perdana Kusuma Airport (HLP/WIHH), Indonesia
ENR	passDomestic	27	19900113-0	Tupolev 134A	Aeroflot, North Kavkaz Civil Aviation Directorate	TJM	UFA	Tyumen Airport (TJM/USTR), Russia	Ufa Airport (UFA/UWUU), Russia
ENR	passDomestic	23	19900115-0	CASA C-212 Aviocar 200	Servicios Aéreos Nacionales - SANSA	SJO	PMZ	San José-Juan Santamaria International Airport (SJO/MROC), Costa Rica	Palmar Sur Airport (PMZ/MRPM), Costa Rica
ENR	cargo	1	19900117-0	Cessna 208A Cargomaster	Federal Express	DEN	MTJ	Denver International Airport, CO (DEN/KDEN), United States of America	Montrose County Airport, CO (MTJ/KMTJ), United States of America
ENR	other	2	19900118-0	Learjet 23	Aero Flight Services	YIP	SDF	Detroit-Willow Run Airport, MI (YIP/KYIP), United States of America	Louisville-Standiford Field, KY (SDF/KSDF), United States of America
LDG	other	1	19900118-1	Beechcraft A100 King Air	Epps Air Service	PDK	ATL	Atlanta-DeKalb Peachtree Airport, GA (PDK/KPDK), United States of America	Atlanta-William B. Hartsfield International Airport, GA (ATL/KATL), United States of America
APR	exec	7	19900119-0	Gulfstream Aerospace G-1159 Gulfstream II	Eastman Kodak	GGG	LIT	Longview-Gregg County Airport, TX (GGG/KGGG), United States of America	Little Rock National Airport, AR (LIT/KLIT), United States of America
ENR	military	24	19900123-0	CASA C-212 Aviocar 200	Marina Venezolana	CCS	PYH	Caracas-Simón Bolívar International Airport (CCS/SVMI), Venezuela	Puerto Ayacucho Airport (PYH/SVPA), Venezuela
APR	passInternational	73	19900125-0	Boeing 707-321B	Avianca	MDE	JFK	Rionegro/Medellín-José María Córdova Airport (MDE/SKRG), Colombia	New York-John F. Kennedy International Airport, NY (JFK/KJFK), United States of America
ENR	passDomestic	19	19900125-3	Hawker Siddeley HS-748-207 Srs. 2	Airfast Indonesia	UPG	AMI	Ujung Pandang-Hasanudin Airport (UPG/WAAA), Indonesia	Mataram-Selaparang Airport (AMI/WADA), Indonesia
ENR	passDomestic	4	19900126-0	Boeing 727	Iran Air	SYZ	BND	Shiraz Airport (SYZ/OISS), Iran	Bandar Abbas Airport (BND/OIKB), Iran
APR	passDomestic	30	19900126-2	Antonov 24RV	MIAT - Mongolian Airlines		ULO	?	Ulaangom Airport (ULO/ZMUG), Mongolia
ENR	military	28	19900127-0	Nord 262C-66	Force Aérienne Congolaise	PNR	BZV	Pointe Noire Airport (PNR/FCPP), Congo	Brazzaville-Maya Maya Airport (BZV/FCBB), Congo
ICL	cargo	1	19900129-0	Cessna 208B Super Cargomaster		PLB	SYR	Plattsburgh-Clinton County Airport, NY (PLB/KPLB), United States of America	Syracuse-Hancock International Airport, NY (SYR/KSYR), United States of America
