phase	nature	fatalities	file	type	opr	dep	dest	dep_full	dest_full
APR	other	4	19950130-0	ATR-72-202	Transasia Airways		TSA	?	Taipei-Sung Shan Airport (TSA/RCSS), Taiwan
MNV	other	7	19950210-0	Antonov 70	Antonov Design Bureau	GML	GML	Kiev-Gostomel Airport (GML), Ukraine	Kiev-Gostomel Airport (GML), Ukraine
UNK	military	3	19950214-0	Dornier Do 28D-2 Skyservant	Turkish Army			?	?
TOF	other	3	19950216-0	McDonnell Douglas DC-8-63F	Air Transport International - ATI	MCI	CEF	Kansas City International Airport, MO (MCI/KMCI), United States of America	Springfield-Westover Metro Airport, MA (CEF/KCEF), United States of America
LDG	military	10	19950221-1	Shin Meiwa US-1A	Japan Maritime Self Defence Force - JMSDF			?	?
APR	exec	2	19950303-0	Cessna 208B Grand Caravan	DMC Flying Service	SAV	GVL	Savannah International Airport, GA (SAV/KSAV), United States of America	Gainesville-Lee Gilmer Memorial Airport, GA (GVL), United States of America
APR	cargo	9	19950316-0	Antonov 26B	Ukraine Flight State Academy	PKC	UHPD	Petropavlovsk-Kamchatsky Airport (PKC/UHPP), Russia	Ossora (UHPD), Russia
APR	cargo	1	19950322-0	Cessna 208B Super Cargomaster	Union Flights	SMF	RNO	Sacramento Metropolitan Airport, CA (SMF/KSMF), United States of America	Reno/Tahoe International Airport, NV (RNO/KRNO), United States of America
ENR	passInternational	60	19950331-0	Airbus A310-324	Tarom	OTP	BRU	Bucharest-Otopeni International Airport (OTP/LROP), Romania	Brussel-Zaventem Airport (BRU/EBBR), Belgium
UNK	other	1	19950401-0	Antonov 2	African Air Charter			?	?
ICL	other	3	19950404-0	Harbin Yunshuji Y-12-II	Transportes Aéreos Nacionales de la Selva - TANS	IQT		Iquitos-C.F. Secada Airport (IQT/SPQT), Peru	?
ENR	military	8	19950417-0	Learjet C-21A	United States Air Force - USAF	ADW	RND	Camp Springs-Andrews AFB, MD (ADW/KADW), United States of America	San Antonio-Randolph AFB, TX (RND/KRND), United States of America
ENR	military	7	19950421-0	CASA C-212 Aviocar 200	Ejército Boliviano			?	?
LDG	passDomestic	1	19950423-0	de Havilland Canada DHC-6 Twin Otter 300	Bristow Helicopters	PHC	LOS	Port Harcourt Airport (PHC/DNPO), Nigeria	Lagos-Murtala Muhammed International Airport (LOS/DNMM), Nigeria
APR	cargo	3	19950427-0	IAI 1124 Westwind	Pel-Air	KTR	ASP	Katherine-Tindal Airport, NT (KTR/YPTN), Australia	Alice Springs Airport, NT (ASP/YBAS), Australia
APR	military	45	19950428-1	British Aerospace BAe-748-334 Srs. 2A		JAF		Jaffna-Palaly AB (JAF/VCCJ), Sri Lanka	Colombo (unknown airport), Sri Lanka
APR	military	52	19950429-0	British Aerospace BAe-748-357 Srs. 2B SCD		ADP	JAF	Anuradhapura Airport (ADP/VCCA), Sri Lanka	Jaffna-Palaly AB (JAF/VCCJ), Sri Lanka
APR	passDomestic	8	19950501-0	Swearingen SA227-CC Metro 23	Bearskin Airlines	YRL	YXL	Red Lake Airport, ON (YRL), Canada	Sioux Lookout Airport, ON (YXL/CYXL), Canada
ENR	exec	7	19950503-0	Gulfstream Aerospace G-1159 Gulfstream II	American Jet	LPB	UIO	La Paz-El Alto Airport (LPB/SLLP), Bolivia	Quito-Mariscal Sucre Airport (UIO/SEQU), Ecuador
TOF	other	3	19950504-0	Antonov 2	Magnitogorsk ROSTO			?	?
APR	cargo	9	19950509-1	Curtiss C-46F-1-CU Commando	COINCO - Cooperativa Interregional de Colombia	MVP	VVC	Mitú Airport (MVP/SKMU), Colombia	Villavicencio-La Vanguardia Airport (VVC/SKVV), Colombia
ENR	military	6	19950513-0	Lockheed C-130E Hercules	United States Air Force - USAF	BOI	COS	Boise Air Terminal, ID (BOI/KBOI), United States of America	Colorado Springs-Peterson Field, CO (COS/KCOS), United States of America
APR	cargo	1	19950522-1	Convair CV-440	SASA - Servicios Aéreos Santa Ana	SRJ		San Borja-Capitan G.Q. Guardia Airport (SRJ/SLSB), Bolivia	?
ENR	passDomestic	12	19950524-0	Embraer 110P1 Bandeirante	Knight Air	LBA	ABZ	Leeds/Bradford Airport (LBA/EGNM), United Kingdom	Aberdeen-Dyce Airport (ABZ/EGPD), United Kingdom
APR	cargo	5	19950525-0	Douglas DC-3C	LACOL Colombia	VVC	MFS	Villavicencio-La Vanguardia Airport (VVC/SKVV), Colombia	Miraflores Airport (MFS/SKMF), Colombia
ENR	military	2	19950607-0	Let L-410UVP	Latvian Air Force			?	?
APR	passDomestic	4	19950609-0	de Havilland Canada DHC-8-102	Ansett New Zealand	AKL	PMR	Auckland International Airport (AKL/NZAA), New Zealand	Palmerston North Airport (PMR/NZPM), New Zealand
ENR	passDomestic	13	19950616-2	Antonov 2P	Aeroflot			Herpuchi, Russia	Oktyabrsky Airfield, Russia
APR	passDomestic	48	19950617-0	CASA C-212 Aviocar 200	Força Aérea Popular de Angola	VPE	CBT	Ondjiva Airport (VPE/FNGI), Angola	Catumbela Airport (CBT/FNCM), Angola
APR	other	3	19950621-0	Douglas C-54G	Aero Union	HMT	HMT	Hemet-Ryan Field, CA (HMT), United States of America	Hemet-Ryan Field, CA (HMT), United States of America
APR	passDomestic	2	19950623-0	Learjet 35A	Aereo Reservaciones Ejecutivas 	CEN	TLC	Ciudad Obregon Airport (CEN/MMCN), Mexico	Toluca Airport (TLC/MMTO), Mexico
LDG	passDomestic	16	19950624-0	Tupolev 134A		KAD	LOS	Kaduna Airport (KAD/DNKA), Nigeria	Lagos-Murtala Muhammed International Airport (LOS/DNMM), Nigeria
ENR	cargo	2	19950627-0	Convair CV-440-98F	Salair	SDQ	BQN	Santo Domingo-Las Américas International Airport (SDQ/MDSD), Dominican Republic	Aguadilla-Borinquen Airport (BQN/TJBQ), Puerto Rico
APR	cargo	2	19950701-1	de Havilland Canada C-7A Caribou	Vanimo Trading	POM	TBG	Port Moresby-Jacksons International Airport (POM/AYPY), Papua New Guinea	Tabubil Airport (TBG), Papua New Guinea
ENR	passDomestic	15	19950712-1	de Havilland Canada DHC-6 Twin Otter 300	Milne Bay Air	GUR		Alotau-Gurney Airport (GUR), Papua New Guinea	Dagura, Papua New Guinea
TOF	passDomestic	1	19950717-4	de Havilland Canada DHC-6 Twin Otter 300	Merpati Nusantara Airlines	NTI		Bintuni Airport (NTI), Indonesia	?
APR	passDomestic	51	19950110-1	Douglas DC-9-14	Intercontinental de Aviación	BOG	CTG	Bogotá-Eldorado Airport (BOG/SKBO), Colombia	Cartagena-Rafael Núñez Airport (CTG/SKCG), Colombia
ENR	other	1	19950719-1	Douglas C-47A-75-DL (DC-3C)	N.F. Stadler	ELM	MKC	Elmira Regional Airport, NY (ELM/KELM), United States of America	Kansas City Downtown Municipal Airport, MO (MKC/KMKC), United States of America
ICL	passDomestic	2	19950725-0	Britten-Norman BN-2A-20 Islander	Transniugini Airways			Karamui, Papua New Guinea	?
APR	military	3	19950731-1	de Havilland Canada DHC-4A Caribou	Royal Malaysian Air Force - RMAF	LBU	LBU	Labuan Airport (LBU/WBKL), Malaysia	Labuan Airport (LBU/WBKL), Malaysia
ICL	other	3	19950802-0	Antonov 2R	Aero Air	QRA	JMB	Johannesburg-Randgermiston Airport (QRA/FAGM), South Africa	Jamba Airport (JMB), Angola
ENR	passDomestic	10	19950809-0	Hawker Siddeley HS-748-216 Srs. 2A	Bouraq Indonesia Airlines	LUV	KNG	Langgur-Dumatubun Airport (LUV/WAPL), Indonesia	Kaimana-Utarom Airport (KNG/WASK), Indonesia
APR	passInternational	65	19950809-1	Boeing 737-2H6	Aviateca	GUA	SAL	Guatemala City-La Aurora Airport (GUA/MGGT), Guatemala	San Salvador-Comalapa International Airport (SAL/MSLP), El Salvador
ENR	passDomestic	8	19950814-0	Embraer 110P1 Bandeirante	AIRES Colombia	NVA	CLO	Neiva-Benito Salas Airport (NVA/SKNV), Colombia	Cali-Alfonso Bonilla Aragón Airport (CLO/SKCL), Colombia
APR	other	1	19950819-1	Douglas C-47B-1-DL (DC-3C)	Air North	YVR	YPR	Vancouver International Airport, BC (YVR/CYVR), Canada	Prince Rupert-Digby Island Airport, BC (YPR/CYPR), Canada
ENR	passDomestic	8	19950821-0	Embraer 120ER Brasilia		ATL	GPT	Atlanta-William B. Hartsfield International Airport, GA (ATL/KATL), United States of America	Gulfport-Biloxi Regional Airport, MS (GPT/KGPT), United States of America
ENR	other	1	19950901-1	Shorts SC.7 Skyvan 3-200	North Star Air Cargo	FWL	MRI	Farewell Airport, AK (FWL/PAFW), United States of America	Anchorage-Merrill Field, AK (MRI/PAMR), United States of America
APR	military	6	19950831-0	Antonov 26	Force Aérienne de la République du Mali			?	?
APR	passDomestic	22	19950909-0	CASA C-212 Aviocar 200	SATENA	VVC	LMC	Villavicencio-La Vanguardia Airport (VVC/SKVV), Colombia	La Macarena Airport (LMC), Colombia
MNV	military	7	19950902-0	British Aerospace Nimrod MR.2P	Royal Air Force - RAF			?	?
APR	passDomestic	3	19950911-0	Antonov 26B	Ariana Afghan Airlines	KBL	JAA	Kabul Airport (KBL/OAKB), Afghanistan	Jalalabad Airport (JAA/OAJL), Afghanistan
ENR	military	75	19950912-0	Antonov 32B	Sri Lanka Air Force	RML	JAF	Colombo-Ratmalana Airport (RML/VCCC), Sri Lanka	Jaffna-Palaly AB (JAF/VCCJ), Sri Lanka
LDG	passDomestic	34	19950915-0	Fokker 50	Malaysia Airlines	BKI	TWU	Kota Kinabalu Airport (BKI/WBKK), Malaysia	Tawau Airport (TWU/WBKW), Malaysia
ICL	private	2	19950916-1	Swearingen SA227-AC Metro III	Tamair	TMW	TMW	Tamworth Airport, NSW (TMW/YSTW), Australia	Tamworth Airport, NSW (TMW/YSTW), Australia
UNK	other	2	19950918-0	Antonov 2R	Aviotransport Macedonia			?	?
APR	passDomestic	6	19950920-0	de Havilland Canada DHC-3 Otter	Walsten Air Service			?	?
TOF	military	24	19950922-0	Boeing E-3A Sentry (707-300B)	United States Air Force - USAF	EDF	EDF	Anchorage-Elmendorf AFB, AK (EDF/PAED), United States of America	Anchorage-Elmendorf AFB, AK (EDF/PAED), United States of America
APR	passDomestic	42	19950921-0	Antonov 24RV	MIAT - Mongolian Airlines	ULN	MXV	Ulan Bator-Buyant Uhaa Airport (ULN/ZMUB), Mongolia	Moron Airport (MXV/ZMMN), Mongolia
APR	passDomestic	8	19950927-0	de Havilland Canada DHC-3 Turbo Otter	Western Straits Air		YBL	Triumph Bay, BC, Canada	Campbell River Airport, BC (YBL/CYBL), Canada
ENR	passDomestic	1	19951003-1	CASA/Nurtanio NC-212-A4 Aviocar 100	Sabang Merauke Raya Air Charter	MES	MEQ	Medan-Polonia Airport (MES/WIMM), Indonesia	Meulaboh-Seunagan Airport (MEQ/WITC), Indonesia
UNK	military	4	19951011-0	Morane Saulnier MS.760B Paris	L'Armée de L'Air			?	?
ENR	passInternational	5	19951021-0	Beechcraft 200 Super King Air		LAD	HLA	Luanda Airport (LAD/FNLU), Angola	Lanseria Airport (HLA/FALA), South Africa
ICL	military	7	19951022-2	Transall C-160D	Luftwaffe	PDL	YYT	Ponta Delgada-Nordela Airport, Azores (PDL/LPPD), Portugal	St. John's Airport, NF (YYT/CYYT), Canada
APR	cargo	7	19951025-1	Antonov 32	MAP Ufa Motors	TJM	UFA	Tyumen Airport (TJM/USTR), Russia	Ufa Airport (UFA/UWUU), Russia
APR	passDomestic	9	19951031-1	Cessna 208B Grand Caravan	Transportes Aéreos de Coahuila - TACSA	SLW	PDS	Saltillo Airport (SLW/MMIO), Mexico	Piedras Negras Airport (PDS/MMPG), Mexico
ENR	passDomestic	14	19950110-0	de Havilland Canada DHC-6 Twin Otter 300	Merpati Nusantara Airlines	BMU	RTG	Bima Airport (BMU/WADB), Indonesia	Ruteng Airport (RTG/WATG), Indonesia
APR	exec	2	19951231-0	Cessna 550 Citation II	Moran Foods, Inc.	CPS	MRK	Saint Louis-Bi-State Parks Airport, MO (CPS), United States of America	Marco Island Airport, FL (MRK), United States of America
APR	other	2	19951230-1	Cessna 560 Citation V	Iowa Packing Company	DSM	EGV	Des Moines Airport, IA (DSM/KDSM), United States of America	Eagle River Airport, WI (EGV), United States of America
TOF	military	1	19951223-0	CASA C-212-M Aviocar 100	Ejército de Chile	SCRG		Rancagua-de la Independencia AB (SCRG), Chile	?
LDG	passDomestic	2	19951222-0	Britten-Norman BN-2A-21 Islander	Islands Nationair	MAG	BNT	Madang Airport (MAG/AYMD), Papua New Guinea	Bundi Airport (BNT), Papua New Guinea
APR	passInternational	159	19951220-1	Boeing 757-223	American Airlines	MIA	CLO	Miami International Airport, FL (MIA/KMIA), United States of America	Cali-Alfonso Bonilla Aragón Airport (CLO/SKCL), Colombia
UNK	passInternational	141	19951218-0	Lockheed L-188C Electra	Trans Service Airlift	FIH		Kinshasa-N'Djili Airport (FIH/FZAA), Congo (Democratic Republic)	?
APR	cargo	2	19951214-0	Rockwell 1121 Jet Commander	American Air Network	MIA	GUA	Miami International Airport, FL (MIA/KMIA), United States of America	Guatemala City-La Aurora Airport (GUA/MGGT), Guatemala
TOF	passInternational	49	19951213-0	Antonov 24B		VRN	TSR	Verona Airport (VRN/LIPX), Italy	Timisoara Airport (TSR/LRTR), Romania
ENR	passInternational	20	19951207-1	Beechcraft 1900D	Air St. Martin	PTP	PAP	Pointe-à-Pitre-Le Raizet Airport (PTP/TFFR), Guadeloupe	Port-au-Prince Airport (PAP/MTPP), Haiti
ENR	passDomestic	98	19951207-0	Tupolev 154B	Khabarovsk United Air	UUS	KHV	Yuzhno-Sakhalinsk Airport (UUS/UHSS), Russia	Khabarovsk-Novy Airport (KHV/UHHH), Russia
ICL	passDomestic	52	19951205-0	Tupolev 134B-3	Azerbaijan Airlines	NAJ	BAK	Nakhichevan Airport (NAJ), Azerbaijan	Baku-Bina International Airport (BAK/UBBB), Azerbaijan
APR	passInternational	71	19951203-0	Boeing 737-2K9	Cameroon Airlines	COO	DLA	Cotonou Airport (COO/DBBB), Benin	Douala Airport (DLA/FKKD), Cameroon
APR	cargo	2	19951130-0	Boeing 707-323C	Azerbaijan Airlines	URC	BAK	Urumqi Airport (URC/ZWWW), China	Baku-Bina International Airport (BAK/UBBB), Azerbaijan
APR	cargo	3	19951128-0	Fairchild FH-227B	TABA - Transportes Aéreos da Bacia Amazônica	BEL	STM	Belém/Val-de-Cans International Airport , PA (BEL/SBBE), Brazil	Santarém Airport, PA (STM/SBSN), Brazil
TOF	military	6	19951126-0	Beechcraft 200C Super King Air	Ejército Boliviano	SLUN		Uncía Airport (SLUN), Bolivia	?
APR	military	62	19951122-1	Antonov 32B	Sri Lanka Air Force		JAF	Colombo (unknown airport), Sri Lanka	Jaffna-Palaly AB (JAF/VCCJ), Sri Lanka
APR	military	5	19951118-0	Shaanxi Yunshuji Y-8D			JAF	?	Jaffna-Palaly AB (JAF/VCCJ), Sri Lanka
LDG	passDomestic	11	19951113-0	Boeing 737-2F9	Nigeria Airways	JOS	KAD	Jos Airport (JOS/DNJO), Nigeria	Kaduna Airport (KAD/DNKA), Nigeria
ENR	passDomestic	53	19951108-0	Fokker F-27 Friendship 400M	Lineas Aéreas del Estado - LADE	SAOR	COR	Villa Reynolds Airport, SL (SAOR), Argentina	Córdoba-Pajas Blancas Airport, CD (COR/SACO), Argentina
APR	passDomestic	144	19961107-0	Boeing 727-231	ADC Airlines	PHC	LOS	Port Harcourt Airport (PHC/DNPO), Nigeria	Lagos-Murtala Muhammed International Airport (LOS/DNMM), Nigeria
ICL	passDomestic	99	19961031-0	Fokker 100	TAM Transportes Aéreos Regionais	CGH	SDU	São Paulo-Congonhas Airport, SP (CGH/SBSP), Brazil	Rio de Janeiro-Santos Dumont Airport, RJ (SDU/SBRJ), Brazil
APR	passDomestic	14	19961101-0	Embraer 110P1 Bandeirante	Transportes Aéreos Profesionales - TAPSA	GUA	FRS	Guatemala City-La Aurora Airport (GUA/MGGT), Guatemala	Flores-Santa Elena Airport (FRS/MGFL), Guatemala
TOF	exec	4	19961030-0	Gulfstream G-IV	Alberto-Culver USA, Inc.	PWK	BUR	Chicago-Executive Airport, IL (PWK/KPWK), United States of America	Burbank/Glendale/Pasadena Airport, CA (BUR/KBUR), United States of America
LDG	passDomestic	5	19961026-0	Yakovlev 40K	Tyumenaviatrans	TJM	USHH	Tyumen Airport (TJM/USTR), Russia	Khanty-Mansiysk (USHH), Russia
LDG	cargo	2	19961023-0	Boeing 707-372C	Fuerza Aérea Argentina - FAA	SCL	EZE	Santiago-Arturo Merino Benitez Airport (SCL/SCEL), Chile	Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE/SAEZ), Argentina
ENR	cargo	27	19961022-0	Boeing 707-323C	Millon Air	MEC	MIA	Manta Airport (MEC/SEMT), Ecuador	Miami International Airport, FL (MIA/KMIA), United States of America
ICL	other	4	19961003-0	de Havilland Canada DHC-6 Twin Otter 100	Malu Aviation			?	?
LDG	cargo	7	19961006-0	Antonov 12B			LBZ	?	Lukapa Airport (LBZ/FNLK), Angola
APR	cargo	4	19961008-0	Antonov 124-100	Aeroflot		TRN	Moskva (unknown airport), Russia	Torino-Caselle Airport (TRN/LIMF), Italy
ENR	passInternational	70	19961002-0	Boeing 757-23A	AeroPeru	LIM	SCL	Lima-Jorge Chavez International Airport (LIM/SPIM), Peru	Santiago-Arturo Merino Benitez Airport (SCL/SCEL), Chile
ENR	passDomestic	32	19960925-0	Douglas DC-3C (C-47A-70-DL)	Dutch Dakota Association	EHTX	AMS	Texel Airport (EHTX), Netherlands	Amsterdam-Schiphol International Airport (AMS/EHAM), Netherlands
TOF	passDomestic	5	19960918-0	Fairchild C-123K Provider	Krissalan de Aviacion		ESE	Bahía Tortugas Airfield, Mexico	Ensenada Airport (ESE/MMES), Mexico
APR	cargo	2	19960913-1	Embraer 110 Bandeirante	Helisul Taxi Aéreo	POA	JOI	Porto Alegre-Salgado Filho International Airport, RS (POA/SBPA), Brazil	Joinville-Cubatao Airport, SC (JOI/SBJV), Brazil
ENR	military	8	19960830-0	Embraer XC-95B Bandeirante	Força Aérea Brasileira - FAB	SJK	SJK	São José dos Campos Airport, SP (SJK/SBSJ), Brazil	São José dos Campos Airport, SP (SJK/SBSJ), Brazil
APR	passInternational	141	19960829-0	Tupolev 154M	Vnukovo Airlines	VKO	LYR	Moskva-Vnukovo Airport (VKO/UUWW), Russia	Svalbard-Longyearbyen Airport (LYR/ENSB), Norway
MNV	other	2	19960827-0	Antonov 2R	Air Moldova			?	?
APR	cargo	12	19960819-0	Ilyushin 76T	SPair	BEG	MLA	Beograd Airport (BEG/LYBE), Serbia	Malta-Luqa Airport (MLA/LMML), Malta
ENR	passDomestic	3	19960818-0	de Havilland Canada DHC-3 Turbo Otter	Harbour Air 	YTU		Tasu Airport, BC (YTU), Canada	Alliford Bay, BC, Canada
ENR	military	9	19960817-3	Lockheed C-130H Hercules	United States Air Force - USAF	JAC	JFK	Jackson Hole Airport, WY (JAC/KJAC), United States of America	New York-John F. Kennedy International Airport, NY (JFK/KJFK), United States of America
ENR	cargo	1	19960814-1	Douglas DC-4 (C-54A-15-DC)	Air North	YBM	WRG	Bronson Creek Airport, BC (YBM), Canada	Wrangell Airport, AK (WRG/PAWG), United States of America
LDG	cargo	2	19960812-2	de Havilland Canada DHC-6 Twin Otter 300	First Air	YFB		Iqaluit Airport, NU (YFB/CYFB), Canada	Markham Bay, NU, Canada
APR	exec	4	19960808-0	Dassault Falcon 10	Burda Holding	MUC	EDTO	München-Franz Josef Strauss Airport (MUC/EDDM), Germany	Offenburg Airport (EDTO), Germany
APR	other	9	19960803-0	Gulfstream Aerospace G-1159 Gulfstream III	Kongelige Danske Flyvevåbnet	KEF	FAE	Reykjavík-Keflavík International Airport (KEF/BIKF), Iceland	Faroe Islands-Vagar Airport (FAE/EKVG), Denmark
MNV	other	1	19960730-0	Canadair CL-215-1A10				?	Palermo (unknown airport), Italy
LDG	passDomestic	8	19960724-0	Fokker F-27 Friendship 600	Myanma Airways	RGN	MGZ	Yangon-Mingaladon Airport (RGN/VYYY), Myanmar	Myeik Airport (MGZ/VYME), Myanmar
APR	cargo	4	19960720-0	Douglas DC-6A	Northern Air Cargo	EMK	ANI	Emmonak Airport, AK (EMK), United States of America	Aniak Airport, AK (ANI), United States of America
APR	passDomestic	1	19960717-2	de Havilland Canada DHC-6 Twin Otter 300		CUN	PCM	Cancún Airport (CUN/MMUN), Mexico	Playa del Carmen Airport (PCM), Mexico
ENR	passInternational	230	19960717-0	Boeing 747-131	Trans World Airlines - TWA	JFK	CDG	New York-John F. Kennedy International Airport, NY (JFK/KJFK), United States of America	Paris-Charles de Gaulle Airport (CDG/LFPG), France
APR	passDomestic	9	19960711-1	Let L-410UVP-E9D	Archana Airways	SLV	KUU	Shimla Airport (SLV/VISM), India	Kulu-Bhuntar Airport (KUU/VIBR), India
APR	military	34	19960715-0	Lockheed C-130H Hercules	Belgische Luchtmacht	RMI	EIN	Rimini-Miramare Airport (RMI/LIPR), Italy	Eindhoven Airport (EIN/EHEH), Netherlands
APR	passDomestic	20	19960709-0	de Havilland Canada DHC-6 Twin Otter 300	Milne Bay Air		MDU	Bosavi Airstrip, Papua New Guinea	Mendi Airport (MDU), Papua New Guinea
TOF	passDomestic	2	19960706-0	McDonnell Douglas MD-88	Delta Air Lines	PNS	ATL	Pensacola Regional Airport, FL (PNS/KPNS), United States of America	Atlanta-William B. Hartsfield International Airport, GA (ATL/KATL), United States of America
UNK	other	3	19960628-1	Beechcraft 200 Super King Air	Air Ivoire			?	?
APR	cargo	4	19960624-1	Antonov 26B	Air Nacoia	LAD	CFF	Luanda-4 de Fevereiro Airport (LAD/FNLU), Angola	Cafunfo Airport (CFF), Angola
APR	passDomestic	2	19960621-0	Harbin Yunshuji Y-12-II	China Flying Dragon Aviation	DLC	CNI	Dalian Airport (DLC/ZYTL), China	Changhai Airport (CNI/ZYCH), China
MNV	other	2	19960613-1	Antonov 2R	Aviaagro			?	?
APR	exec	12	19960620-0	Gulfstream Aerospace G-1159 Gulfstream II	NAMCO	KAN	JOS	Kano-Aminu Kano International Airport (KAN/DNKN), Nigeria	Jos Airport (JOS/DNJO), Nigeria
TOF	passInternational	3	19960613-0	McDonnell Douglas DC-10-30	Garuda Indonesia Airways	FUK	DPS	Fukuoka Airport (FUK/RJFF), Japan	Denpasar-Ngurah Rai Bali International Airport (DPS/WADD), Indonesia
ICL	cargo	10	19960606-2	Ilyushin 76MD		FIH	ATH	Kinshasa-N'Djili Airport (FIH/FZAA), Congo (Democratic Republic)	Athens-Ellinikon International Airport (ATH/LGAT), Greece
LDG	private	4	19960609-3	Boeing 727-286	Iran Air	THR	RAS	Tehran-Mehrabad Airport (THR/OIII), Iran	Rasht Airport (RAS/OIGG), Iran
TOF	private	2	19960604-0	Learjet 25C	Aeroexecutivos Táxi Aéreo	RAO	RAO	Ribeirão Preto-Leite Lopes Airport, SP (RAO/SBRP), Brazil	Ribeirão Preto-Leite Lopes Airport, SP (RAO/SBRP), Brazil
APR	other	1	19960519-1	Britten-Norman BN-2A-26 Islander	Loganair	INV	LWK	Inverness Airport (INV/EGPE), United Kingdom	Lerwick/Tingwall Airport, Shetland Islands (LWK/EGET), United Kingdom
TOF	military	4	19960519-0	Embraer C-95A Bandeirante	Força Aérea Brasileira - FAB	CRQ		Caravelas Airport, BA (CRQ/SBCV), Brazil	?
TOF	other	2	19960515-1	Beechcraft 200 Super King Air	R & B Leasing	TCB		Treasure Cay Airport (TCB/MYAT), Bahamas	?
ENR	passDomestic	4	19960512-0	Beechcraft 300LW Super King Air	Airlink Luftverkehrs GmbH	SZG	LOAG	Salzburg-W. A. Mozart Airport (SZG/LOWS), Austria	Krems Airport (LOAG), Austria
ENR	passDomestic	1	19960511-2	Britten-Norman BN-2A-20 Islander	Milne Bay Air	MYX	MWG	Menyamya Airport (MYX), Papua New Guinea	Marawaka Airport (MWG), Papua New Guinea
